lat,lon,alt,date,device,os,version
37.7765147,-122.4269098,0,2013-04-27 03:09:22,"Samsung d2att",4.2.2,1.0
37.7767362,-122.4273625,0,2013-04-27 03:19:23,"Samsung d2att",4.2.2,1.0
37.7691607,-122.4200582,0,2013-04-27 03:39:24,"Samsung d2att",4.2.2,1.0
37.7691607,-122.4200582,0,2013-04-27 04:09:25,"Samsung d2att",4.2.2,1.0
37.7691607,-122.4200582,0,2013-04-27 04:19:25,"Samsung d2att",4.2.2,1.0
37.7710547,-122.4234221,0,2013-04-27 04:29:25,"Samsung d2att",4.2.2,1.0
37.7710547,-122.4234221,0,2013-04-27 04:59:25,"Samsung d2att",4.2.2,1.0
37.7745824,-122.4266057,0,2013-04-27 05:09:26,"Samsung d2att",4.2.2,1.0
37.7734748,-122.4096529,0,2013-04-27 06:19:26,"Samsung d2att",4.2.2,1.0
37.7745597,-122.4085774,0,2013-04-27 07:19:29,"Samsung d2att",4.2.2,1.0
37.7745237,-122.4085889,0,2013-04-27 16:09:30,"Samsung d2att",4.2.2,1.0
37.7694307,-122.4112267,0,2013-04-27 16:59:30,"Samsung d2att",4.2.2,1.0
37.7663987,-122.409437,0,2013-04-27 17:09:30,"Samsung d2att",4.2.2,1.0
37.7704398,-122.4101415,0,2013-04-27 17:49:30,"Samsung d2att",4.2.2,1.0
37.7745584,-122.4085833,0,2013-04-27 17:59:27,"Samsung d2att",4.2.2,1.0
37.7745251,-122.4085945,0,2013-04-27 18:29:30,"Samsung d2att",4.2.2,1.0
37.7766193,-122.4080469,0,2013-04-27 20:59:30,"Samsung d2att",4.2.2,1.0
37.7757376,-122.409177,0,2013-04-27 21:49:32,"Samsung d2att",4.2.2,1.0
37.7721011,-122.41063,0,2013-04-27 21:59:30,"Samsung d2att",4.2.2,1.0
37.7697052,-122.4119715,0,2013-04-27 22:09:30,"Samsung d2att",4.2.2,1.0
37.774117,-122.4091531,0,2013-04-27 23:19:30,"Samsung d2att",4.2.2,1.0
37.7745489,-122.4085998,0,2013-04-27 23:29:30,"Samsung d2att",4.2.2,1.0
37.7757767,-122.4091365,0,2013-04-28 00:09:26,"Samsung d2att",4.2.2,1.0
37.7762471,-122.4093646,0,2013-04-28 00:19:31,"Samsung d2att",4.2.2,1.0
37.776432,-122.4082618,0,2013-04-28 02:11:24,"Samsung d2att",4.2.2,1.0
37.7773361,-122.4070622,0,2013-04-28 02:14:25,"Samsung d2att",4.2.2,1.0
37.778061,-122.406228,0,2013-04-28 02:15:25,"Samsung d2att",4.2.2,1.0
37.7784091,-122.4052256,0,2013-04-28 02:16:26,"Samsung d2att",4.2.2,1.0
37.7772781,-122.4045245,0,2013-04-28 02:18:26,"Samsung d2att",4.2.2,1.0
37.7762368,-122.4053309,0,2013-04-28 02:26:25,"Samsung d2att",4.2.2,1.0
37.7727158,-122.4063898,0,2013-04-28 02:27:25,"Samsung d2att",4.2.2,1.0
37.7652154,-122.4053217,0,2013-04-28 02:28:25,"Samsung d2att",4.2.2,1.0
37.7546988,-122.4033509,0,2013-04-28 02:29:26,"Samsung d2att",4.2.2,1.0
37.7399768,-122.4072,0,2013-04-28 02:30:25,"Samsung d2att",4.2.2,1.0
37.7312741,-122.4050707,0,2013-04-28 02:31:25,"Samsung d2att",4.2.2,1.0
37.7301509,-122.4048069,0,2013-04-28 02:32:26,"Samsung d2att",4.2.2,1.0
37.727389,-122.4034706,0,2013-04-28 02:34:26,"Samsung d2att",4.2.2,1.0
37.7249882,-122.4025576,0,2013-04-28 02:35:25,"Samsung d2att",4.2.2,1.0
37.7237593,-122.4020272,0,2013-04-28 02:37:25,"Samsung d2att",4.2.2,1.0
37.7249935,-122.4011253,0,2013-04-28 02:38:25,"Samsung d2att",4.2.2,1.0
37.7235245,-122.3984876,0,2013-04-28 02:39:23,"Samsung d2att",4.2.2,1.0
37.722417,-122.3958952,0,2013-04-28 02:40:24,"Samsung d2att",4.2.2,1.0
37.7220619,-122.3948308,0,2013-04-28 02:42:24,"Samsung d2att",4.2.2,1.0
37.7209668,-122.3930398,0,2013-04-28 02:44:24,"Samsung d2att",4.2.2,1.0
37.720183,-122.3915747,0,2013-04-28 02:46:24,"Samsung d2att",4.2.2,1.0
37.7197514,-122.3906706,0,2013-04-28 02:47:24,"Samsung d2att",4.2.2,1.0
37.7185924,-122.3889445,0,2013-04-28 02:49:24,"Samsung d2att",4.2.2,1.0
37.7174648,-122.3873769,0,2013-04-28 02:51:24,"Samsung d2att",4.2.2,1.0
37.7160113,-122.3867971,0,2013-04-28 02:53:24,"Samsung d2att",4.2.2,1.0
37.7149584,-122.384812,0,2013-04-28 02:55:24,"Samsung d2att",4.2.2,1.0
37.7159326,-122.3861634,0,2013-04-28 02:56:24,"Samsung d2att",4.2.2,1.0
37.714506,-122.3846224,0,2013-04-28 02:57:24,"Samsung d2att",4.2.2,1.0
37.7159265,-122.3853318,0,2013-04-28 02:58:24,"Samsung d2att",4.2.2,1.0
37.7144333,-122.383345,0,2013-04-28 02:59:24,"Samsung d2att",4.2.2,1.0
37.7139409,-122.3841697,0,2013-04-28 03:04:24,"Samsung d2att",4.2.2,1.0
37.7128224,-122.3851119,0,2013-04-28 03:14:24,"Samsung d2att",4.2.2,1.0
37.7109367,-122.3867554,0,2013-04-28 03:15:24,"Samsung d2att",4.2.2,1.0
37.7121401,-122.3833566,0,2013-04-28 03:20:24,"Samsung d2att",4.2.2,1.0
37.7110854,-122.386491,0,2013-04-28 03:21:24,"Samsung d2att",4.2.2,1.0
37.7121401,-122.3833566,0,2013-04-28 03:29:25,"Samsung d2att",4.2.2,1.0
37.708866,-122.3874352,0,2013-04-28 03:31:24,"Samsung d2att",4.2.2,1.0
37.7121401,-122.3833566,0,2013-04-28 03:32:24,"Samsung d2att",4.2.2,1.0
37.7109275,-122.3868388,0,2013-04-28 03:34:24,"Samsung d2att",4.2.2,1.0
37.7121401,-122.3833566,0,2013-04-28 03:35:24,"Samsung d2att",4.2.2,1.0
37.708866,-122.3874352,0,2013-04-28 03:42:24,"Samsung d2att",4.2.2,1.0
37.7109426,-122.3867382,0,2013-04-28 03:43:24,"Samsung d2att",4.2.2,1.0
37.7113391,-122.3852736,0,2013-04-28 03:54:24,"Samsung d2att",4.2.2,1.0
37.7055919,-122.3915139,0,2013-04-28 03:55:24,"Samsung d2att",4.2.2,1.0
37.7123866,-122.3867266,0,2013-04-28 03:56:24,"Samsung d2att",4.2.2,1.0
